method,coverage,accepted_accuracy,risk,n_accepted
msp,0.6211,0.9194981704129639,0.08050182958703611,1913
msp,0.6416,0.9185222672064778,0.08147773279352222,1976
msp,0.8825,0.85467255334805,0.14532744665194997,2718
