pair,split,n,coverage,acc_at_agree,acc_at_disagree,reliability_gap,error_capture_at_disagree,n_agree,n_disagree
strong1-strong2,overall,3080,0.8824675324675325,0.8535688005886681,0.4088397790055249,0.44472902158314326,0.34967320261437906,2718,362
strong1-strong2,id,3080,0.8824675324675325,0.8535688005886681,0.4088397790055249,0.44472902158314326,0.34967320261437906,2718,362
strong1-strong2,ood,0,nan,nan,nan,nan,nan,0,0
strong1-middle,overall,3080,0.6415584415584416,0.8638663967611336,0.6893115942028986,0.17455480255823508,0.5604575163398693,1976,1104
strong1-middle,id,3080,0.6415584415584416,0.8638663967611336,0.6893115942028986,0.17455480255823508,0.5604575163398693,1976,1104
strong1-middle,ood,0,nan,nan,nan,nan,nan,0,0
strong1-weak,overall,3080,0.6211038961038962,0.8714061683220073,0.6863753213367609,0.1850308469852464,0.5980392156862745,1913,1167
strong1-weak,id,3080,0.6211038961038962,0.8714061683220073,0.6863753213367609,0.1850308469852464,0.5980392156862745,1913,1167
strong1-weak,ood,0,nan,nan,nan,nan,nan,0,0
