pair,primary_run,validator_run,coverage,acc_at_agree,acc_at_disagree,reliability_gap,error_rate_at_agree,error_rate_at_disagree,error_capture_at_disagree,n_agree,n_disagree
strong1-strong2,gemma-4-31B-banking77-run0,Qwen3.6-27B-banking77-run0,0.8824675324675325,0.8535688005886681,0.4088397790055249,0.44472902158314326,0.14643119941133187,0.5911602209944751,0.34967320261437906,2718,362
strong1-middle,gemma-4-31B-banking77-run0,Qwen3.5-9B-banking77-run0,0.6415584415584416,0.8638663967611336,0.6893115942028986,0.17455480255823508,0.13613360323886636,0.31068840579710144,0.5604575163398693,1976,1104
strong1-weak,gemma-4-31B-banking77-run0,Qwen3.6-35B-A3B-banking77-run0,0.6211038961038962,0.8714061683220073,0.6863753213367609,0.1850308469852464,0.12859383167799265,0.31362467866323906,0.5980392156862745,1913,1167
