pair,split,n,coverage,acc_at_agree,acc_at_disagree,reliability_gap,error_capture_at_disagree,n_agree,n_disagree
strong1-strong2,overall,5500,0.7767272727272727,0.922752808988764,0.6482084690553745,0.27454433993338945,0.5669291338582677,4272,1228
strong1-strong2,id,4500,0.9108888888888889,0.9541351549158331,0.5536159600997507,0.40051919481608245,0.4877384196185286,4099,401
strong1-strong2,ood,1000,0.173,0.1791907514450867,0.694074969770254,-0.5148842183251673,0.640506329113924,173,827
strong1-middle,overall,5500,0.6745454545454546,0.9196765498652291,0.740782122905028,0.17889442696020108,0.6089238845144357,3710,1790
strong1-middle,id,4500,0.7911111111111111,0.9544943820224719,0.7819148936170213,0.17257948840545068,0.55858310626703,3560,940
strong1-middle,ood,1000,0.15,0.09333333333333334,0.6952941176470588,-0.6019607843137255,0.6556962025316456,150,850
strong1-weak,overall,5500,0.6114545454545455,0.9259589652096343,0.7599438465138044,0.16601511869582986,0.6732283464566929,3363,2137
strong1-weak,id,4500,0.7173333333333334,0.9606567534076828,0.8113207547169812,0.14933599869070158,0.6539509536784741,3228,1272
strong1-weak,ood,1000,0.135,0.0962962962962963,0.684393063583815,-0.5880967672875187,0.6911392405063291,135,865
