pair,score,auroc_correctness,auprc_correctness
strong1-strong2,agreement_binary,0.6994628784529836,0.9124544937137032
strong1-strong2,strong1_id_conf,0.7686683806250686,0.9506183809141951
strong1-strong2,0.5_conf_plus_0.5_agree,0.7743351348177299,0.9515486478075199
strong1-strong2,1-normalized_js,0.7897761328799708,0.9609995194760808
strong1-strong2,cosine_similarity,0.7987832778817379,0.9622513233962644
strong1-strong2,top3_overlap,0.42850663480277296,0.8455249168520298
strong1-middle,agreement_binary,0.6645294813032288,0.9033822531475072
strong1-middle,strong1_id_conf,0.7686683806250686,0.9506183809141951
strong1-middle,0.5_conf_plus_0.5_agree,0.7500246513086245,0.9474892049667021
strong1-middle,1-normalized_js,0.714386060543614,0.9385657633455352
strong1-middle,cosine_similarity,0.7178267184731921,0.9391139078473066
strong1-middle,top3_overlap,0.5045244845660649,0.8627910185953294
strong1-weak,agreement_binary,0.6652338439754972,0.9038493878178521
strong1-weak,strong1_id_conf,0.7686683806250686,0.9506183809141951
strong1-weak,0.5_conf_plus_0.5_agree,0.7489494110830068,0.9475474021726917
strong1-weak,1-normalized_js,0.7115511600518065,0.9389455295770713
strong1-weak,cosine_similarity,0.7142968726629728,0.9405206544559381
strong1-weak,top3_overlap,0.5029413996846848,0.8626194713526485
