method,coverage,accepted_accuracy,risk,n_accepted
msp,0.6115,0.9565863812072555,0.043413618792744524,3363
msp,0.6745,0.9555256064690026,0.04447439353099736,3710
msp,0.7767,0.9433520599250936,0.05664794007490637,4272
