pair,primary_run,validator_run,coverage,acc_at_agree,acc_at_disagree,reliability_gap,error_rate_at_agree,error_rate_at_disagree,error_capture_at_disagree,n_agree,n_disagree
strong1-strong2,gemma-4-31B-run0-all,Qwen3.6-27B-run0-all,0.7767272727272727,0.922752808988764,0.6482084690553745,0.27454433993338945,0.077247191011236,0.35179153094462545,0.5669291338582677,4272,1228
strong1-middle,gemma-4-31B-run0-all,qwen3.5-9b-clinc-run0-all,0.6745454545454546,0.9196765498652291,0.740782122905028,0.17889442696020108,0.08032345013477094,0.259217877094972,0.6089238845144357,3710,1790
strong1-weak,gemma-4-31B-run0-all,Qwen3.6-35B-run0-all,0.6114545454545455,0.9259589652096343,0.7599438465138044,0.16601511869582986,0.07404103479036572,0.24005615348619558,0.6732283464566929,3363,2137
