role,run,model,n,accuracy,id_accuracy,oos_accuracy_recall,oos_precision,oos_recall,pred_oos_rate
strong1,gemma-4-31B-run0-all,cyankiwi/gemma-4-31B-it-AWQ-4bit,5500,0.8614545454545455,0.9184444444444444,0.605,0.9409020217729394,0.605,0.11690909090909091
strong2,Qwen3.6-27B-run0-all,cyankiwi/Qwen3.6-27B-AWQ-BF16-INT4,5500,0.7383636363636363,0.8928888888888888,0.043,0.8958333333333334,0.043,0.008727272727272728
middle,qwen3.5-9b-clinc-run0-all,cyankiwi/Qwen3.5-9B-AWQ-4bit,5500,0.6372727272727273,0.7755555555555556,0.015,0.625,0.015,0.004363636363636364
weak,Qwen3.6-35B-run0-all,cyankiwi/Qwen3.6-35B-A3B-AWQ-4bit,5500,0.5838181818181818,0.7104444444444444,0.014,0.5833333333333334,0.014,0.004363636363636364
